TiNbZrCu_9	
2θ, °	Intensity, counts
46.32	1860.396
46.34	1917.086
46.36	1843.807
46.38	1850.251
46.4	1857.273
46.42	1820.809
46.44	1791.409
46.46	1837.373
46.48	1810.29
46.5	1772.61
46.52	1844.69
46.54	1825.016
46.56	1771.276
46.58	1828.457
46.6	1862.039
46.62	1812.389
46.64	1803.962
46.66	1829.03
46.68	1781.236
46.7	1861.066
46.72	1874.571
46.74	1865.078
46.76	1835.107
46.78	1788.93
46.8	1825.607
46.82	1847.996
46.84	1747.174
46.86	1891.427
46.88	1843.814
46.9	1730.618
46.92	1836.388
46.94	1853.23
46.96	1777.968
46.98	1793.38
47	1722.785
47.02	1809.045
47.04	1800.427
47.06	1728.217
47.08	1801.749
47.1	1830.906
47.12	1808.896
47.14	1801.558
47.16	1740.766
47.18	1797.404
47.2	1711.443
47.22	1782.574
47.24	1767.939
47.26	1743.839
47.28	1747.686
47.3	1786.357
47.32	1800.84
47.34	1791.175
47.36	1779.578
47.38	1840.24
47.4	1749.6
47.42	1795.573
47.44	1874.695
47.46	1748.753
47.48	1786.571
47.5	1743.311
47.52	1758.755
47.54	1742.57
47.56	1828.235
47.58	1797.711
47.6	1744.945
47.62	1832.457
47.64	1744.124
47.66	1770.641
47.68	1761.365
47.7	1766.127
47.72	1764.492
47.74	1783.004
47.76	1844.644
47.78	1771.423
47.8	1778.56
47.82	1717.595
47.84	1675.309
47.86	1716.714
47.88	1736.781
47.9	1797.797
47.92	1717.758
47.94	1775.277
47.96	1711.933
47.98	1709.083
48	1705.913
48.02	1726.601
48.04	1730.353
48.06	1707.233
48.08	1730.024
48.1	1768.542
48.12	1699.441
48.14	1723.042
48.16	1772.888
48.18	1778.438
48.2	1748.257
48.22	1734.653
48.24	1731.308
48.26	1746.863
48.28	1746.351
48.3	1695.609
48.32	1824.776
48.34	1770.107
48.36	1727.988
48.38	1675.81
48.4	1721.374
48.42	1780.084
48.44	1699.745
48.46	1710.099
48.48	1684.096
48.5	1747.255
48.52	1628.235
48.54	1737.703
48.56	1714.299
48.58	1680.467
48.6	1702.624
48.62	1751.434
48.64	1699.965
48.66	1687.732
48.68	1638.086
48.7	1695.787
48.72	1690.316
48.74	1589.258
48.76	1738.292
48.78	1807.456
48.8	1842.088
48.82	1734.294
48.84	1703.046
48.86	1727.409
48.88	1819.744
48.9	1746.144
